value;label;information
1991;Critters 3 – Die Kuschelkiller kommen;Critters 3
1992;Poison Ivy – Die tödliche Umarmung;Poison Ivy
1993;This Boy’s Life
1993;Gilbert Grape – Irgendwo in Iowa;What’s Eating Gilbert Grape
1994;The Foot Shooting Party;Kurzfilm
1995;Hundert und eine Nacht;Les cent et une nuits de Simon Cinéma
1995;Schneller als der Tod;The Quick and the Dead
1995;Jim Carroll – In den Straßen von New York;The Basketball Diaries
1995;Total Eclipse – Die Affäre von Rimbaud und Verlaine;Total Eclipse
1995–1996;Don’s Plum;erschien 2001
1996;William Shakespeares Romeo + Julia;Romeo + Juliet
1996;Marvins Töchter;Marvin’s Room
1997;Titanic
1998;Der Mann in der eisernen Maske;The Man in the Iron Mask
1998;Celebrity – Schön. Reich. Berühmt.;Celebrity
2000;The Beach
2002;Gangs of New York
2002;Catch Me If You Can
2004;Aviator;The Aviator
2006;Departed – Unter Feinden;The Departed
2006;Blood Diamond
2007;11th Hour – 5 vor 12;The 11th Hour;Dokumentarfilm
2008;Der Mann, der niemals lebte;Body of Lies
2008;Zeiten des Aufruhrs;Revolutionary Road
2010;Shutter Island
2010;Inception
2011;J. Edgar
2012;Django Unchained
2013;Der große Gatsby;The Great Gatsby
2013;The Wolf of Wall Street
2015;The Revenant – Der Rückkehrer;The Revenant
2016;Before the Flood;Dokumentarfilm
2019;Once Upon a Time in Hollywood
2019;Ice on Fire;Dokumentarfilm, Stimme des Erzählers
