label;value;information
Gladiator;2001;
A Beautiful Mind – Genie und Wahnsinn;2002;
Chicago;2003;
Der Herr der Ringe: Die Rückkehr des Königs;2004;
Million Dollar Baby;2005;
L.A. Crash;2006;
Departed – Unter Feinden;2007;
No Country for Old Men;2008;
Slumdog Millionär;2009;
Tödliches Kommando – The Hurt Locker;2010;
The King’s Speech;2011;
The Artist;2012;
Argo;2013;
12 Years a Slave;2014;
Birdman oder (Die unverhoffte Macht der Ahnungslosigkeit);2015;
Spotlight;2016;
Moonlight;2017;
Shape of Water – Das Flüstern des Wassers;2018;
Green Book – Eine besondere Freundschaft;2019;
Parasite;2020;
